wikidata_id,name,latitude,longitude,postal_code
Q1019675,Nové Město nad Metují,50.34459888,16.151547223,549 01
Q1019956,Moravské Budějovice,49.052136027,15.808653302,675 41
Q1019956,Moravské Budějovice,49.052136027,15.808653302,675 44
Q1019956,Moravské Budějovice,49.052136027,15.808653302,676 02
Q1020874,Přeštice,49.573084901,13.333542808,334 01
Q1021080,Lipník nad Bečvou,49.527549239,17.586338342,751 31
Q1023875,Hustopeče,48.940871942,16.737622216,693 01
Q1025213,Rosice,49.182352008,16.387885945,665 01
Q1025213,Rosice,49.182352008,16.387885945,664 84
Q1228928,Dobruška,50.292047387,16.160091697,518 01
Q1321460,Králíky,50.083862294,16.760606276,561 69
Q1321460,Králíky,50.083862294,16.760606276,788 33
Q1433206,Hlinsko,49.762172981,15.907605681,539 01
Q1433206,Hlinsko,49.762172981,15.907605681,539 62
Q1476819,Valašské Klobouky,49.140630604,18.007607874,766 01
Q1476819,Valašské Klobouky,49.140630604,18.007607874,766 17
Q1624693,Holice,50.066050453,15.985965854,534 01
Q1624693,Holice,50.066050453,15.985965854,534 14
Q1641736,Pohořelice,48.981217409,16.524457138,691 23
Q1641781,Vítkov,49.774449841,17.749454126,749 01
Q1641781,Vítkov,49.774449841,17.749454126,747 84
Q1641781,Vítkov,49.774449841,17.749454126,747 47
Q1645575,Kostelec nad Orlicí,50.122700875,16.213254179,517 41
Q1781657,Konice,49.590315943,16.889147392,798 52
Q1789604,Krnov,50.089666916,17.70390892,794 01
Q2427155,Náměšť nad Oslavou,49.207301366,16.158503502,675 71
Q386026,Orlová,49.84524799,18.430155445,735 14
Q386026,Orlová,49.84524799,18.430155445,735 11
Q386988,Říčany,49.991746433,14.654334421,251 01
Q392429,Šternberk,49.730452833,17.298931346,785 01
Q392692,Šumperk,49.965299915,16.970665435,787 01
Q393426,Žatec,50.327264913,13.545859487,438 01
Q393592,Železný Brod,50.642794278,15.254178818,468 22
Q393955,Židlochovice,49.039551985,16.618813305,667 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 02
Q430661,Chotěboř,49.72076568,15.670229057,583 01
Q430864,Nymburk,50.186115487,15.041747256,288 02
Q430864,Nymburk,50.186115487,15.041747256,289 13
Q470369,Kolín,50.02819399,15.200633745,280 02
Q513417,Vsetín,49.338702987,17.996209032,755 01
